query_id,query_source,alpha,rank,filename,score,relevance_proxy
img2img_001,Lionel_Messi.jpg,0.0,1,Lionel_Messi.jpg,1.000000,relevant
img2img_001,Lionel_Messi.jpg,0.0,2,000_Par1269498-2048x1443.jpg,0.852069,relevant
img2img_001,Lionel_Messi.jpg,0.0,3,gettyimages-2219558287-612x612.jpg,0.799523,not_relevant
img2img_001,Lionel_Messi.jpg,0.0,4,linkedin.jpg,0.497019,not_relevant
img2img_001,Lionel_Messi.jpg,0.0,5,978580450.jpg,0.493545,not_relevant
img2img_001,Lionel_Messi.jpg,0.2,1,Lionel_Messi.jpg,1.000000,relevant
img2img_001,Lionel_Messi.jpg,0.2,2,000_Par1269498-2048x1443.jpg,0.852069,relevant
img2img_001,Lionel_Messi.jpg,0.2,3,gettyimages-2219558287-612x612.jpg,0.799523,not_relevant
img2img_001,Lionel_Messi.jpg,0.2,4,linkedin.jpg,0.497019,not_relevant
img2img_001,Lionel_Messi.jpg,0.2,5,978580450.jpg,0.493545,not_relevant
img2img_001,Lionel_Messi.jpg,0.3,1,Lionel_Messi.jpg,1.000000,relevant
img2img_001,Lionel_Messi.jpg,0.3,2,000_Par1269498-2048x1443.jpg,0.852069,relevant
img2img_001,Lionel_Messi.jpg,0.3,3,gettyimages-2219558287-612x612.jpg,0.799523,not_relevant
img2img_001,Lionel_Messi.jpg,0.3,4,linkedin.jpg,0.497019,not_relevant
img2img_001,Lionel_Messi.jpg,0.3,5,978580450.jpg,0.493545,not_relevant
img2img_001,Lionel_Messi.jpg,0.5,1,Lionel_Messi.jpg,1.000000,relevant
img2img_001,Lionel_Messi.jpg,0.5,2,000_Par1269498-2048x1443.jpg,0.852069,relevant
img2img_001,Lionel_Messi.jpg,0.5,3,gettyimages-2219558287-612x612.jpg,0.799523,not_relevant
img2img_001,Lionel_Messi.jpg,0.5,4,linkedin.jpg,0.497019,not_relevant
img2img_001,Lionel_Messi.jpg,0.5,5,978580450.jpg,0.493545,not_relevant
